FIN.TRANSACTION DATE,MCH.MERCHANT NAME,FIN.TRANSACTION AMOUNT
12/12/2017,BUILDBASE LIMITED,10.04
11/12/2017,ROBERT DYAS HOLDNG LTD,12.99
11/12/2017,WWW.THEKEY.CO.UK,18.00
11/12/2017,DFSK PARTS LTD,86.40
11/12/2017,TRAINLINE,34.73
11/12/2017,WWW.MINDTOOLS.COM,17.00
11/12/2017,TESCO STORES 6292,23.59
11/12/2017,AMAZON EU,46.44
11/12/2017,EYRE & ELLISTON LTD,95.90
11/12/2017,BUILDBASE LIMITED,70.80
11/12/2017,TESCO STORES 6292,15.00
11/12/2017,PAYPAL  FURNISH4LES,280.00
09/12/2017,PREMIER INN,169.00
08/12/2017,WWW.PLUMBWORLD.CO.UK,97.71
08/12/2017,TOOLSTATION,5.98
09/12/2017,RAPIDSPIKE,22.74
09/12/2017,HOTJAR,26.29
06/12/2017,MAILCLARKAI,30.06
08/12/2017,SMITH & LOW LTD,12.50
08/12/2017,OXFORD291OFFICE,100.00
08/12/2017,OXFORD291OFFICE,255.00
08/12/2017,WWW.GWR.COM,25.60
07/12/2017,PRIMARK 440,14.00
08/12/2017,SAINSBURYS (2305),88.30
08/12/2017,SAINSBURYS (2305),10.00
08/12/2017,SAINSBURYS (2305),10.00
08/12/2017,SAINSBURYS (2305),10.00
08/12/2017,SAINSBURYS (2305),10.00
08/12/2017,SAINSBURYS (2305),10.00
08/12/2017,SPIRES SANDWICH,291.85
07/12/2017,VISTAPRINT,136.94
08/12/2017,AMAZON EU,9.46
07/12/2017,GWR OXFORD TO,69.40
07/12/2017,EDWARD BADEN LTD,220.80
06/12/2017,TRAINLINE,-8.40
07/12/2017,AMAZON UK MARKETPLACE,7.83
07/12/2017,AMAZON UK MARKETPLACE,22.96
07/12/2017,CARPETS 4 LESS,12.00
07/12/2017,CURRYS OXFORD CITY 282,14.99
07/12/2017,AMAZON UK MARKETPLACE,9.97
07/12/2017,ROBERT DYAS HOLDNG LTD,19.98
07/12/2017,WH SMITH,1.99
07/12/2017,WAYFAIR STORES LIM,35.98
07/12/2017,SCREWFIX DIRECT,75.98
07/12/2017,BIG YELLOW S S OXFORD,160.00
06/12/2017,INSIGHTLY CRM,134.84
06/12/2017,BRICKWORK INDIA,47.91
07/12/2017,EYRE & ELLISTON LTD,10.34
07/12/2017,SHELTER,144.00
06/12/2017,GWR READING SST,24.20
06/12/2017,SPELTHORNE BC MOTO,50.00
06/12/2017,FORTIS BATTERY,114.00
06/12/2017,GOVCONNECT.ORG.UK,354.00
06/12/2017,GOVCONNECT.ORG.UK,354.00
06/12/2017,WWW.IJTDIRECT.CO.UK,514.98
06/12/2017,LAND REGISTRY,6.00
06/12/2017,LAND REGISTRY,6.00
06/12/2017,BUILDBASE LIMITED,42.00
06/12/2017,FOOD SAFETY DIRECT LTD,120.00
06/12/2017,CURRYS OXFORD CITY 282,14.99
06/12/2017,OUP ONLINE SUBS,89.00
06/12/2017,C I H,184.00
06/12/2017,ROBERT DYAS HOLDNG LTD,24.99
06/12/2017,CARPETS 4 LESS,610.00
06/12/2017,CARPETS 4 LESS,610.00
06/12/2017,HOMEBASE LTD 091,24.67
06/12/2017,LAND REGISTRY,6.00
06/12/2017,JAUPT,252.00
06/12/2017,TRAINLINE,16.68
06/12/2017,TRAINLINE,75.28
06/12/2017,SUPATILE OXFORD,43.06
06/12/2017,WWW.ENVIRONMENTJOB.CO.,429.60
06/12/2017,FURNISH 4 LESS LTD,345.00
06/12/2017,SMITH & LOW LTD,203.88
06/12/2017,CARPETS 4 LESS,283.45
06/12/2017,OXFORD291OFFICE,255.00
06/12/2017,POSTOFFICE SELFSERVICE,7.25
06/12/2017,WWW.POLICE-SUPPLIES.CO,93.86
06/12/2017,SAFETYSUPPL,73.74
06/12/2017,PAYPAL  MILNEDIANA,71.10
06/12/2017,SAFETYSUPPL,51.48
05/12/2017,WWW.LASER-MEASURE.CO.U,237.60
05/12/2017,AMAZON UK MARKETPLACE,12.98
05/12/2017,HOPE TEC DEV,167.81
05/12/2017,TRAINLINE,57.94
05/12/2017,TRAINLINE,57.94
06/12/2017,AMAZON UK MARKETPLACE,32.39
05/12/2017,TRAINLINE,23.41
04/12/2017,TRAINLINE,-8.40
04/12/2017,EBUYER (UK) LTD,550.03
05/12/2017,SMITH & LOW LTD,6.95
05/12/2017,AMAZON UK MARKETPLACE,25.94
06/12/2017,AMAZON EU,23.98
05/12/2017,AMAZON UK MARKETPLACE,22.99
05/12/2017,LAND REGISTRY,6.00
05/12/2017,LAND REGISTRY,6.00
05/12/2017,LAND REGISTRY,6.00
05/12/2017,LAND REGISTRY,6.00
05/12/2017,POUNDLAND LTD 1586,15.05
04/12/2017,VIRGIN TRAINS,16.60
04/12/2017,WWW.CHILTERNRAILWAYS.C,141.30
04/12/2017,BYTEMARK HOSTING,24.00
04/12/2017,NCP HEATHROW HILTON,35.09
04/12/2017,FRONTIER-PITTS LTD,240.00
04/12/2017,SAINSBURYS TO YOU 0600,50.70
04/12/2017,EXECUTIVE SECURITY,29.28
04/12/2017,WH SMITH,-17.43
04/12/2017,BUILDBASE LIMITED,283.20
04/12/2017,BUILDBASE LIMITED,-70.80
04/12/2017,SAFESCAN B.V.,146.05
02/12/2017,AMAZON.CO.UK,7.99
01/12/2017,INDEED TEL+35312545907,188.83
02/12/2017,AMAZON.CO.UK,8.46
02/12/2017,AMAZON.CO.UK,4.47
01/12/2017,TRAVELODGE,37.00
02/12/2017,AMAZON.CO.UK,14.99
02/12/2017,AMAZON.CO.UK,33.95
01/12/2017,POUNDLAND LTD,4.00
01/12/2017,AMAZON.CO.UK,56.97
01/12/2017,SCREWFIX DIRECT,22.85
02/12/2017,AMAZON.CO.UK,59.99
02/12/2017,AMZ JESWELL TECH +44 2,-5.99
03/12/2017,AMZ JESWELL TECH +44 2,-23.48
01/12/2017,SCREWFIX DIRECT,89.99
01/12/2017,TRAINLINE,79.46
01/12/2017,HELLOPRINT,101.94
01/12/2017,SWITCHBOARD,25.10
03/12/2017,CHILTERN RAILWAY LTD,54.00
01/12/2017,TRAVELODGE,254.60
03/12/2017,WELCOME BREAK,739.50
01/12/2017,AMAZON.CO.UK,34.70
02/12/2017,AMAZON UK RETAIL AMAZO,35.13
03/12/2017,AMAZON.CO.UK,13.64
01/12/2017,FACEBK  HJCNNC6Q92,63.94
01/12/2017,FACEBK  LJCNNC6Q92,31.62
01/12/2017,FACEBK XTKPHE2AR2,84.51
01/12/2017,FACEBK SPM9YCJD92,24.79
